Step,Pitch,Yaw,PitchRate,YawRate,PitchGimbal,YawGimbal
0,-4.834136,-4.404012,0.0036300244,0.004472846,0.36300245,0.44728464
1,-4.826875,-4.395069,0.0072608767,0.008943092,0.3630852,0.44702458
2,-4.815982,-4.3816605,0.010893321,0.013408825,0.36324438,0.44657335
3,-4.8014536,-4.3637924,0.014528118,0.017868115,0.3634798,0.44592905
4,-4.7832875,-4.3414736,0.018166028,0.022319004,0.363791,0.44508904
5,-4.76148,-4.314714,0.021807803,0.026759503,0.3641775,0.4440499
6,-4.736026,-4.2835264,0.025454188,0.031187575,0.36463857,0.4428072
7,-4.7069197,-4.2479253,0.02910592,0.03560113,0.36517328,0.44135576
8,-4.6741557,-4.207927,0.032763723,0.039998025,0.3657803,0.4396894
9,-4.6377273,-4.1635513,0.036428306,0.044376034,0.36645815,0.43780112
10,-4.5976267,-4.1148186,0.040100355,0.048732862,0.36720482,0.43568268
11,-4.5538464,-4.0617523,0.04378053,0.053066112,0.36801785,0.43332508
12,-4.5063767,-4.004379,0.047469474,0.057373293,0.36889416,0.43071806
13,-4.455209,-3.942727,0.051167775,0.061651796,0.36983007,0.42785048
14,-4.400333,-3.8768282,0.054875985,0.065898895,0.37082088,0.4247098
15,-4.341738,-3.8067164,0.058594596,0.07011172,0.37186098,0.4212823
16,-4.279414,-3.7324293,0.062324032,0.07428725,0.37294352,0.41755295
17,-4.2133493,-3.654007,0.06606463,0.07842231,0.3740603,0.41350543
18,-4.1435328,-3.5714934,0.06981665,0.082513526,0.3752013,0.40912175
19,-4.0699525,-3.484936,0.0735802,0.08655735,0.3763547,0.4043825
20,-3.9925973,-3.394386,0.07735526,0.09055001,0.37750614,0.39926654
21,-3.9114556,-3.2998986,0.08114164,0.09448752,0.37863868,0.39375085
22,-3.8265166,-3.201533,0.084938966,0.09836562,0.37973225,0.38781056
23,-3.73777,-3.0993533,0.08874659,0.1021798,0.38076288,0.38141847
24,-3.6452065,-2.993428,0.09256362,0.105925255,0.3817026,0.37454507
25,-3.5488176,-2.8838313,0.0963888,0.10959683,0.3825183,0.36715811
26,-3.4485972,-2.7706423,0.10022051,0.11318906,0.38317105,0.35922235
27,-3.3445406,-2.6539462,0.104056664,0.116696045,0.3836156,0.350699
28,-3.236646,-2.5338347,0.10789465,0.120111495,0.38379908,0.3415454
29,-3.1249146,-2.410406,0.111731246,0.123428635,0.38365984,0.3317141
30,-3.0093522,-2.283766,0.11556251,0.12664016,0.38312653,0.3211522
31,-2.8899686,-2.154028,0.11938368,0.12973817,0.38211665,0.3098007
32,-2.7667797,-2.021314,0.12318903,0.1327141,0.38053507,0.297593
33,-2.639808,-1.8857553,0.12697175,0.13555863,0.37827253,0.2844542
34,-2.5090842,-1.7474936,0.13072379,0.13826163,0.3752041,0.27029958
35,-2.3746486,-1.6066817,0.13443567,0.14081196,0.37118748,0.25503385
36,-2.2365522,-1.4634843,0.13809629,0.14319746,0.3660619,0.23855026
37,-2.0948596,-1.3180795,0.14169276,0.14540477,0.35964692,0.22073029
38,-1.9496495,-1.1706603,0.14521019,0.14741921,0.35174274,0.2014449
39,-1.801018,-1.0214355,0.14863151,0.14922479,0.34213144,0.18055716
40,-1.6490806,-0.87063146,0.15193732,0.15080407,0.33058125,0.15792814
41,-1.4939748,-0.7184931,0.15510586,0.15213834,0.3168544,0.13342625
42,-1.3358617,-0.5652853,0.15811306,0.15320776,0.30072105,0.1069426
43,-1.1749288,-0.41129345,0.16093287,0.1539919,0.28198016,0.07841287
44,-1.011391,-0.2568231,0.16353777,0.15447035,0.2604895,0.047845595
45,-0.84549123,-0.10219918,0.1658998,0.15462391,0.23620325,0.015355917
46,-0.6774993,0.052236706,0.16799194,0.15443589,0.20921321,-0.018801784
47,-0.5077095,0.20613047,0.16978978,0.15389377,0.17978355,-0.05421213
48,-0.33643606,0.35912123,0.17127344,0.15299076,0.14836626,-0.0903008
49,-0.16400678,0.5108483,0.17242928,0.15172705,0.11558397,-0.12637062
50,0.009244248,0.66095865,0.17325103,0.15011033,0.08217588,-0.16167156
51,0.18298443,0.8091141,0.17374018,0.14815544,0.048914853,-0.19549012
52,0.35688978,0.9549972,0.17390536,0.1458831,0.016517729,-0.22723307
53,0.53065085,1.0983155,0.17376108,0.14331827,-0.0144275315,-0.25648278
54,0.7039769,1.2388036,0.17332608,0.14048813,-0.043500964,-0.2830134
55,0.8765985,1.376224,0.17262153,0.13742042,-0.070454076,-0.30677187
56,1.0482681,1.5103661,0.17166966,0.13414203,-0.09518674,-0.3278384
57,1.2187606,1.6410443,0.17049254,0.1306782,-0.11771163,-0.34638146
58,1.387872,1.7680963,0.16911137,0.12705202,-0.13811783,-0.3626176
59,1.555418,1.8913805,0.16754597,0.12328421,-0.15654014,-0.37678087
60,1.7212327,2.0107737,0.16581461,0.119393185,-0.17313646,-0.3891025
61,1.8851665,2.126169,0.16393389,0.115395196,-0.18807256,-0.39979896
62,2.0470853,2.2374735,0.16191876,0.11130454,-0.20151295,-0.4090657
63,2.206868,2.3446074,0.1597826,0.10713378,-0.21361531,-0.41707513
64,2.3644052,2.4475014,0.15753733,0.102894016,-0.2245277,-0.42397702
